WEB;CORREO ELECTRONICO;EVALUACIÓN;Escriba OBSERVACIONES TEXTO;RAZÓN SOCIAL;SUPERVISOR;REGIÓN;DEPARTAMENTO DOMICILIO;CIUDAD DOMICILIO
;;;;FERROSVEL SAS;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;Compañia de alimentos Antillana S.A.S.;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;ENVIGADO-ANTIOQUIA
;;;;INDUSTRIA COLOMBIANA DE LOGISTICA Y TRANSPORTE SAS BIC;SUPERTRANSPORTE;Antioquia;ANTIOQUIA;ITAGUI-ANTIOQUIA
;;;;UNIBAN LOGISTICA S.A;SUPERTRANSPORTE;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;TRIPLE ALIANZA SAS;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;ITAGUI-ANTIOQUIA
;;;;AGENCIA DE AUTOMOVILES S.A. AGENCIA DE AUTOMOVILES S.A.;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;CACHARRIA MUNDIAL SAS;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;INTERAMERICANA DE PRODUCTOS QUIMICOS S.A.S;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;NAVAR ASOCIADOS S.A.S;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;AYURA MOTOR S.A;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;ENVIGADO-ANTIOQUIA
;;;;CONINSA S.A.S.;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;MARROCAR S.A.S.;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;Mattelsa SAS;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;COMPAÑIA DE DISTRIBUCION Y TRANSPORTE S.A.S. BIC;SUPERTRANSPORTE;Antioquia;ANTIOQUIA;ITAGUI-ANTIOQUIA
;;;;COOPERATIVA DE VIGILANCIA Y SEGURIDAD PROFESIONAL DE ANTIOQUIA COOPEVIAN;SUPERVIGILANCIA;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;ATLETICO NACIONAL SA;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;CORRUMED S.A.S.;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;LA ESTRELLA-ANTIOQUIA
;;;;UNION ELECTRICA S.A. EN PROCESO DE NEGOCIACIÓN DE EMERGENCIA;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;FRANCORP S.A.S;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;TRONEX S.A.S.;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;EMPAQUETADOS EL TRECE SAS;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;ITAGUI-ANTIOQUIA
;;;;CELSA S.A.S;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;GUARNE-ANTIOQUIA
;;;;CMX S.A.S;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;Instituto Colombiano Del Dolor S.A.S;SUPERSALUD;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;JARAMILLO PETS S.A.S;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;PALAREPAS SAS;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;MANPOWER PROFESSIONAL LTDA;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;ENVIGADO-ANTIOQUIA
;;;;AKZONOBEL S.A.S;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;SCRIBE COLOMBIA SAS;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;IG Services S.A.S.;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;ALEMAUTOS S.A;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;COMESTIBLES DAN SA;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;OPPERAR COLOMBIA S.A.S;SUPERTRANSPORTE;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;CONQUIMICA S.A.S;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;ITAGUI-ANTIOQUIA
;;;;Molinos Santa Marta S.A.S;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;AGROSURA SAS ZOMAC;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;SALGAR-ANTIOQUIA
;;;;Promotora Medica Y Odontologica De Antioquia S.A;SUPERSALUD;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;GONVARRI MS COLOMBIA S.A.S;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;ITAGUI-ANTIOQUIA
;;;;TRANSPORTADORA DE METANO E.S.P. S.A.;SUPERSERVICIOS;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;MICRODENIER S.A.;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;ITAGUI-ANTIOQUIA
;;;;PRODENVASES SAS;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;GLOBAL SERVICE PHARMACEUTICAL SAS;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;IVANAGROS.A;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;MILAGROS ENTERPRISE GROUP SAS;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;LA ESTRELLA-ANTIOQUIA
;;;;AVERY DENNISON COLOMBIA SAS;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;ENVIGADO-ANTIOQUIA
;;;;MAPEI COLOMBIA S.A.S.;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;LA ESTRELLA-ANTIOQUIA
;;;;SANDVIK COLOMBIA S A S;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;GIRARDOTA-ANTIOQUIA
;;;;RECUPERAR SAS;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;ITAGUI-ANTIOQUIA
;;;;PRODUCTOS RIKATAS SAS;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;OCELOTE MINERALS SAS;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;COMERCIALIZADORA INTERNACIONAL BANA RICA S.A;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;ESTRATEGIA COMERCIAL DE COLOMBIA SAS;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;SABANETA-ANTIOQUIA
;;;;INGENIERIA TRANSPORTE Y MAQUINARIA SAS;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;ENVIGADO-ANTIOQUIA
;;;;Grupo Oncologico Internacional S.A. Y/O Clinica De Oncología Astorga;SUPERSALUD;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;INDUSTRIAS ALIADAS S.A.S.;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;AGRICOLA SANTAMARIA S.A.S;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;GRUPO LITORAL S.A.S;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;LABORATORIOS DELTA SAS;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;RIONEGRO-ANTIOQUIA
;;;;ODINSA S.A.;SUPERFINANCIERA;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;ANTIOQUEÑA DE AUTOMOTORES Y REPUESTOS S.A.;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;MCM COMPANY S.A.S.;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;EXPLANAN SAS;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;COMERCIALIZADORA INTERNACIONAL OROMETRO S.A.S.;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;LICOSINU S.A.S;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;DISTRIBUIDORA KIRAMAR S.A.SDISTRIBUIDORA KIRAMAR SAS;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;BELLO-ANTIOQUIA
;;;;COLOMBIANA FLEXOGRAFICA DE PLASTICOS SAS;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;ITAGUI-ANTIOQUIA
;;;;COMERCIAL +BIOS S.A.S;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;ENVIGADO-ANTIOQUIA
;;;;Laboratorio Clinico Colmedicos Ips S.A.S - Colmedicos S.A.S;SUPERSALUD;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;INVERSIONES LA BUONAVITA SAS;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
