WEB;CORREO ELECTRONICO;EVALUACIÓN;Escriba OBSERVACIONES TEXTO;RAZÓN SOCIAL;SUPERVISOR;REGIÓN;DEPARTAMENTO DOMICILIO;CIUDAD DOMICILIO
;;;;PCA PRODUCTORA Y COMERCIALIZADORA DE ALIMENTOS SAS;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;JERICO-ANTIOQUIA
;;;;GRUPO ALV SAS;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;INMOBILIARIA CONSTRUCTORA SERVING S.A.S;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;RIONEGRO-ANTIOQUIA
;;;;ALGAR TECNOLOGIA S.A.S;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;ENVIGADO-ANTIOQUIA
;;;;CALIDRA COLOMBIA SAS;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;QUIMICOLOR SAS;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;GUARNE-ANTIOQUIA
;;;;HUGE SAS;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MARINILLA-ANTIOQUIA
;;;;NUVA S.A.S.;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;TRES PINOS S.A.S.;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;GRANELES Y CARGA S.A.;SUPERTRANSPORTE;Antioquia;ANTIOQUIA;SABANETA-ANTIOQUIA
;;;;Nueva Clinica Sagrado Corazon S.A.S;SUPERSALUD;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;ADH PAPELES ADHESIVOS SAS;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;ENERGIA Y POTENCIA S.A.S;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;ITAGUI-ANTIOQUIA
;;;;DISPARTES SAS;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;GIRARDOTA-ANTIOQUIA
;;;;LAUDAN OPERADORES SAS;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;MICROMINERALES S.A.S;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;COPACABANA-ANTIOQUIA
;;;;INGENIERIA INMOBILIARIA SAS;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;GREEN SERVICES AND SOLUTIONS SAS;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;IINDUSTRIAS METALICAS CORSAN SA;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;ITAGUI-ANTIOQUIA
;;;;GTD COLOMBIA SAS;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;VIRTUALSOFT SERVICIOS & SOFTWARE SAS;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;GRANOS Y CEREALES LA FRIJOLERA SAS;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;ITAGUI-ANTIOQUIA
;;;;AQUATERRA SAS;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;MU MECANICOS UNIDOS S.A.S.;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;ITAGUI-ANTIOQUIA
;;;;ÉXITO INDUSTRIAS S.A.S.;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;ENVIGADO-ANTIOQUIA
;;;;AGROINDUSTRIA CARNICA DE AVANZADA S A S;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;ENVIGADO-ANTIOQUIA
;;;;GRUPO LUZ Y FUERZA COLOMBIA S.A.S;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;Ticsa Colombia;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;CORTEACEROS S A;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;ITAGUI-ANTIOQUIA
;;;;TOSTADITOS SUSANITA SAS;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;AUTOMOTORA SAS;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;Centro Cardiovascular Somer Incare S A;SUPERSALUD;Antioquia;ANTIOQUIA;RIONEGRO-ANTIOQUIA
;;;;AGRICOLA MAYORCA S.A.S.;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;Corresponsales Colombia S.A.S;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;CONTENTO BPS S.A;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;ITAGUI-ANTIOQUIA
;;;;KAKARAKA SAS;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;ITAGUI-ANTIOQUIA
;;;;LA MIGUERIA S.A.S;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;SUPERORIENTE S.A;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;RIONEGRO-ANTIOQUIA
;;;;INDUSTRIAS EMU SAS;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;ITAGUI-ANTIOQUIA
;;;;Endava Colombia S.A.S;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;LICORES DE LA SABANA LIMITADA;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;ENVIGADO-ANTIOQUIA
;;;;COMPAÑIA DE ASPERSIONES AEREAS CONTROL B S.A.S ZOMAC;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;APARTADO-ANTIOQUIA
;;;;FRANCISCO MURILLO S.AS.;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;Autolux SAS;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;PC MEJIA SA;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;ITAGUI-ANTIOQUIA
;;;;HATCH S.A.S.;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;IMPORTADORA CELESTE SA;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;DALI JOYERIA RELOJERIA S.A.S;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;RB SUPPLIES S.A.S;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;GUARNE-ANTIOQUIA
;;;;ACEROS INDUSTRIALESS.A.S EN REORGANIZACION;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;ITAGUI-ANTIOQUIA
;;;;FARMATECH S.A;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;TOPLLANTAS S.A.S.;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;ITAGUI-ANTIOQUIA
;;;;INDUSTRIAS PLASTICAS DE MEDELLIN SAS;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;EMPAQUES Y SERVICIOS SUPERIORES SAS;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;LA ESTRELLA-ANTIOQUIA
;;;;LABORATORIOS FUNAT SAS;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;SABANETA-ANTIOQUIA
;;;;Instituto Del Corazon S.A.S;SUPERSALUD;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;ENERBIT SAS ESP;SUPERSERVICIOS;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;SERVI OIL DTC SAS;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;LADRILLERA SAN CRISTOBAL S.A.;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;ATESA DE OCCIDENTE S.A E.S.P.;SUPERSERVICIOS;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;AGROCOMERCIAL CAGIR SAS;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;APARTADO-ANTIOQUIA
;;;;MERCADOS UNIDOS ALIADOS SAS;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;ITAGUI-ANTIOQUIA
;;;;QUIMICA ORION SAS;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;GUARNE-ANTIOQUIA
;;;;PROMOTORA ENTRE MARES S.A.S.;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;RONELLY SAS;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;ENVIGADO-ANTIOQUIA
;;;;INVERSIONES PINAMAR S.A.;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;Pro-Diagnostico S.A.;SUPERSALUD;Antioquia;ANTIOQUIA;BELLO-ANTIOQUIA
;;;;UN SOLO PROVEEDOR SAS;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;ITAGUI-ANTIOQUIA
;;;;VICUNHA COLOMBIA SAS;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;POLO 1 SAS;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;ENVIGADO-ANTIOQUIA
;;;;PRODUCTOS Y MATERIALES DE CONFECCION S.A.S.;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;C.I MINERAL METALS LOGISTICS &SOLUTIONS S.A.S;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;PROMINERALES S.A.S.;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;PUERTO BERRIO-ANTIOQUIA
;;;;COSMETICOS SAMY S.A.;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;C Y C OBRAS CIVILES S.A.S;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;Univer Plus;SUPERSALUD;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;Clinica Oftalmologica De Antioquia S.A.S;SUPERSALUD;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;CONVEL SAS;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;OILRED SAS;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;ITAGUI-ANTIOQUIA
;;;;PRODUCTOS CARNICOS FRICAR S A S;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;UNO A ASEO INTEGRADO.S.A;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;PARACONSTRUIR SAS;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;LITO SAS;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;BELLO-ANTIOQUIA
;;;;VIVEL S.A.S;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;INDUSTRIAS DEL HIERRO S.A.S;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;GIRARDOTA-ANTIOQUIA
;;;;VENISE SAS;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;AGROMIL S.A.S.;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;SABANETA-ANTIOQUIA
;;;;INDUSTRIAS FATELARES SAS;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;ITAGUI-ANTIOQUIA
;;;;SOCIEDAD DE COMERCIALIZACION INTERNACIONAL AGRICOLAS UNIDAS SAS;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;INTERNACIONAL DE ABASTOS Y LICORES SAS;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;ITAGUI-ANTIOQUIA
;;;;BIKE HOUSE SAS;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;REPRESENTACIONES MEDICAS ALCOST PHARMACEUTICAL SAS;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;TEAM IT S.A.S.;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;ENVIGADO-ANTIOQUIA
;;;;DISTRIBUIDORA FP S.A.S;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;BELLO-ANTIOQUIA
;;;;AGROPECUARIA GRUPO 20 S.A;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;COMERCIALIZADORA INTERNACIONAL AGROGREENLAND S.A.S;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;APARTADO-ANTIOQUIA
;;;;INVERSIONES MONTOLIVO SAS;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;GRUPO EMPRESARIAL PEMC SAS;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;GRUPO EMPRESARIAL SEISO SAS;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;MAYUN SAS;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;ITAGUI-ANTIOQUIA
;;;;OCCIDENTAL DE EMPAQUES SAS;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;GIRARDOTA-ANTIOQUIA
;;;;MINA EL GRAN PORVENIR DEL LIBANO S.A;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;A'HORA S.A.S. SERVICIOS TEMPORALES;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;ALIRIO GOMEZ G. SERVICIOS DE ALIMENTACION S.A.S.;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;ENVIGADO-ANTIOQUIA
;;;;Cooperativa De Trabajo Asociado De Profesionales De La Salud De Donmatias - Prosalco;SUPERSALUD;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;Dolphins Plus SA;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;Clinica San Juan De Dios La Ceja;SUPERSALUD;Antioquia;ANTIOQUIA;LA CEJA-ANTIOQUIA
;;;;REDYCO SAS;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;CI FAJAS MYD COLOMBIA SAS;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;GLÜKY GROUP S.A.S.;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;Soluciones Alegra S.A.S.;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;FRUTAS DE EXPORTACIO SAS FRUTEX SAS;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;ITAGUI-ANTIOQUIA
;;;;CESDE S.A.S;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;TANANA SAS;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;Artmedica S.A.S;SUPERSALUD;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;INTERNACIONAL EJECUTIVA DE AVIACION S.A.S;SUPERTRANSPORTE;Antioquia;ANTIOQUIA;Rionegro-ANTIOQUIA
;;;;PORCIGENES SA;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;GIRARDOTA-ANTIOQUIA
;;;;OPERADORA AIRPLAN SAS;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;DIVERTRONICA MEDELLIN SAS;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;ITAGUI-ANTIOQUIA
;;;;Servicios Nutresa S.A.S.;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;IMPORTADORA JAPON SA;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;INVERSIONES JOMARA SAS;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MARINILLA-ANTIOQUIA
;;;;CI MATEC LOGISTICA S.A.S.;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;ITAGUI-ANTIOQUIA
;;;;Inveragro el Cambulo S.A.S.;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;MEZCLAS BIOMIX S.A.S;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;SABANETA-ANTIOQUIA
;;;;EXELA SERVICIOS TEMPORALES S.A;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;CONSTRUCCIÓNES Y BIENES S.A. CONSTRUCCIÓNES Y BIENES S.A.;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;SABANETA-ANTIOQUIA
;;;;DAES S A S;SUPERTRANSPORTE;Antioquia;ANTIOQUIA;CAUCASIA-ANTIOQUIA
;;;;"INDUSTRIAS KENT Y SORRENTO S;A;";SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;LANDA GROUP S.A.S.;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;"""COMERCIALIZADORA GAPAL S.A.S. """;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;ITAGUI-ANTIOQUIA
;;;;DISTRIBUIDORA DE QUIMICOS INDUSTRIALES S.A.;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;RP MEDICAS S.A;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;CORRESPONSALES DISTRICOL S.A.S.;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;PUERTO ANTIOQUIA HOLDING S.A.S;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;APARTADO-ANTIOQUIA
;;;;COMPAÑIA NACIONAL DE TRABAJADORES TEMPORALES S.A.S;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;INVERSIONES RIOS HOYOS SAS;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;CALDAS-ANTIOQUIA
;;;;PLASTIMUNDO SAS;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;BARBOSA-ANTIOQUIA
;;;;ZONALOGISTICA S.A.S.;SUPERTRANSPORTE;Antioquia;ANTIOQUIA;ITAGUI-ANTIOQUIA
;;;;FLORES SILVESTRES S.A.;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;COMERCIALIZADORA RAGGED Y CIA S.A.S;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;URBANIZA SAS;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;PUNTO CARDINAL DE ORIENTE SAS;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;RIONEGRO-ANTIOQUIA
;;;;Soluciones Civiles S.A.S;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;ARCHROMA COLOMBIA SAS;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;SABANETA-ANTIOQUIA
;;;;PAECIA SAS;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;ESSENTIALL SAS;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;ITAGUI-ANTIOQUIA
;;;;MEGATOYS SAS;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;MAGNUM LOGISTICS S.A.S;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;CONSTRUCTORA SERVING SAS;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;RIONEGRO-ANTIOQUIA
;;;;MERA MEDELLIN SAS;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;RIONEGRO-ANTIOQUIA
;;;;EL COLOMBIANO SAS;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;ENVIGADO-ANTIOQUIA
;;;;NUEVO MUNDO OLEICO S.A.S;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;INGEMA S.A.;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;WEIR MINERALS COLOMBIA SAS;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;RIONEGRO-ANTIOQUIA
;;;;TIENDAS DE ROPA INTIMA S.A;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;SABANETA-ANTIOQUIA
;;;;LABORATORIOS MEDIFARMA S.A.S;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;GUARNE-ANTIOQUIA
;;;;Servicios Aereos Panamericanos Sas;SUPERSALUD;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;INCALL S.A.S;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;Clinica De Otorrinolaringologia De Antioquia S.A-Orlant S.A;SUPERSALUD;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;COMERCIALIZADORA DE HIELOS IGLU SA;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;ITAGUI-ANTIOQUIA
;;;;EXTRUSIONES S.A;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;ITAGUI-ANTIOQUIA
;;;;INVERSIONES IDM SAS;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;LA CEJA-ANTIOQUIA
;;;;COMPAÑIA AERO AGRICOLA INTEGRAL SAS;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;CAREPA-ANTIOQUIA
;;;;INDUSTRIAS DE ACERO SAS IDEACE;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;ITAGUI-ANTIOQUIA
;;;;DERIVADOS LACTEOS DEL NORTE SAS;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;SANTA ROSA DE OSOS-ANTIOQUIA
;;;;DISAZUCAR BOTERO SAS;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;APARTADO-ANTIOQUIA
;;;;JOSE A Y GERARDO E ZULUAGA SAS;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;ITAGUI-ANTIOQUIA
;;;;Inversiones Crear Rama Sa;SUPERSALUD;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;ART MODE SAS BIC;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;RIONEGRO-ANTIOQUIA
;;;;MACXICERDOS DE COLOMBIA SAS;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;SOLUCIONES Y PARTES S.A.S.;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;TAHUMA SAS;SUPERTRANSPORTE;Antioquia;ANTIOQUIA;ENVIGADO-ANTIOQUIA
;;;;SERVICENTROS DE ENERGIA S.A.;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;Ciclotron Colombia S.A.S.;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;BIO URBE SAS;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;DORICOLOR INDULIT SAS;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;SABANETA-ANTIOQUIA
;;;;RIUM SAS;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;MCAD TRAINING & CONSULTING SAS;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;RIMOPLASTICAS S.A.;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;LA ESTRELLA-ANTIOQUIA
;;;;supermercado los ibañez sas;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;APARTADO-ANTIOQUIA
;;;;SSAB COLOMBIA SAS;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;COORDINADORA DE TANQUES SAS;SUPERTRANSPORTE;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;SUPERMERCADO BOOM SAS;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;ITAGUI-ANTIOQUIA
;;;;GLOBAL MVM SAS;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;COMERCIALIZADORA DE QUIMICOS Y PARAFINAS S.A.S.;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;ENTRERRIOS-ANTIOQUIA
;;;;EMPAQUES JUAN S.A.S.;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;ITAGUI-ANTIOQUIA
;;;;SENCO LATIN AMERICA S.A.S;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MARINILLA-ANTIOQUIA
;;;;MYSTIC FOODS SAS;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;SOCIEDAD COMERCIALIZADORA DE COMBUSTIBLES S.A.S.;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;LA ESTRELLA-ANTIOQUIA
;;;;AA METALS SAS;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;GUARNE-ANTIOQUIA
;;;;GRICOAT DE COLOMBIA SAS;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;ITAGUI-ANTIOQUIA
;;;;STANLEY BLACK & DECKER COLOMBIA SERVICES SAS;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;MASIVO DE OCCIDENTE SAS;SUPERTRANSPORTE;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;PLASSOL S.A.S;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;M.V.H INVERSIONES S.A.S;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;ENVIGADO-ANTIOQUIA
;;;;EVERFIT SA;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;COMERCIALIZADORA EPA SAS;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;RIONEGRO-ANTIOQUIA
;;;;Pactia SAS;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;Gowan Colombia SAS;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;RIONEGRO-ANTIOQUIA
;;;;COLOMBIANA DE CINES S.A;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;SABANETA-ANTIOQUIA
